Flowerspecies,pollen_g/flower,nectar_ml/flower,proteinPollenProp,concentration_mol/l,startDay,stopDay,corollaDepth_mm,nectarFlowerVolume_myl,intFlowerTime_s
"""Bugle""",0.00065,0.000809667,0.072103857,0.824737635,120,211,10,0.80966667,0.6
"""Burdock""",0.00043,0.002289,0.111789917,0.886486837,181,272,3.9,2.289,0.6
"""Oilseed_rape""",0.001506667,0.021032446,0.256083333,1.413033834,120,242,5,21.0324462,0.6
"""Giant_bindweed""",0.00091,0.009954,0.264566786,0.664621677,181,272,0,9.954,0.6
"""Common_knapweed""",0.0024,0.0021042,0.158970881,1.340766709,151,272,3,2.1042,0.6
"""Greater_knapweed""",0.002023333,0,0.29775,0,181,272,13.6,0,0.6
"""Rosebay_willowherb""",0.01145,0,0.205722222,0,181,272,0,0,0.6
"""Marsh_thistle""",0.005053333,0.000639333,0.145379479,0.892359175,181,272,3,0.63933333,0.6
"""Spear_thistle""",0.003066667,0.001824667,0.190333333,1.290291168,151,303,6.2,1.82466667,0.6
"""Hawthorn""",0.000113,0.001875346,0.153978889,1.023306391,120,180,0,1.8753462,0.6
"""Foxglove""",0.021636667,0.001633333,0.227516783,0.82432564,151,272,7,1.63333333,0.6
"""Wild_teasel""",0.014552381,0.009761111,0.198504595,1.08579219,181,242,10,9.76111111,0.6
"""Vipers_bugloss""",0.001736667,0.000921667,0.180277778,0.668138194,151,272,6.7,0.92166667,0.6
"""Ground_ivy""",0.000896667,0.002618,0.1906965,0.87236667,59,150,7,2.618,0.6
"""Bluebell""",0.001876667,0,0.363,0,90,180,0,0,0.6
"""St_Johns_wort""",0.0005,0,0.139074028,0,151,272,0,0,0.6
"""Field_scabious""",0.00888,0,0.1195,0,181,272,0,0,0.6
"""White_dead_nettle""",0.00122,0.002167667,0.228,0.756159314,120,364,7.7,2.16766667,0.6
"""Red_dead_nettle""",0.000673333,0.005452941,0.228,1.012756841,59,303,7,5.45294118,0.6
"""Birdsfoot_trefoil""",0.000983333,0.000843033,0.358,0.697633655,120,303,9,0.84303333,0.6
"""Selfheal""",0.000340667,0.0005824,0.258046333,0.662448006,151,272,8,0.5824,0.6
"""Blackthorn""",3.33E-05,9.33E-05,0.272,0.779652352,59,150,0,0.09333333,0.6
"""Buttercup""",0.000765556,0.000197167,0.1206,0.715746421,120,303,0,0.19716667,0.6
"""Dog_rose""",0.000669444,0,0.0907235,0,151,211,0,0,0.6
"""Bramble""",0.000479444,0.006823833,0.126,0.500418064,120,272,0,6.82383333,0.6
"""Average_Willow""",0.010303333,0.002606667,0.257375,1.134482423,59,119,0,2.60666667,0.6
"""Ragwort""",0.00017,0,0.155,0,151,303,0,0,0.6
"""Hedge_woundwort""",0.0008,0.001464633,0.145433167,1.044243191,181,242,9,1.46463333,0.6
"""Comfry""",0.000953333,0.004317833,0.09710669,0.989791281,120,211,17,4.31783333,0.6
"""Dandelion""",0.000433333,0.000470167,0.091663467,1.294673289,1,364,1.2,0.47016667,0.6
"""Red_clover""",0.000502222,0.000616,0.208687875,0.985977213,120,272,10,0.616,0.6
"""White_clover""",0.000412778,0.000666556,0.2307,0.980296686,151,272,2,0.66655556,0.6
"""Tufted_vetch""",0.00085,0.001587069,0.129583333,0,151,242,6.8,1.58706897,0.6
"""Common_vetch""",0.00038,0.000860417,0.428,0.815340079,120,272,7,0.86041667,0.6
"""Crop_Field_beans""",0.00065,0.00086,0.2,1.28,153,182,19,0.86,0.6
"""Crop_Oilseed_rape""",0.000239,0.00055,0.2,1.5,114,136,5,0.55,0.6
"""Crop_Maize""",0.0353,0,0.2,0,197,210,0,0,0.6
