Flowerspecies,pollen_g/flower,nectar_ml/flower,proteinPollenProp,concentration_mol/l,startDay,stopDay,corollaDepth_mm,nectarFlowerVolume_myl,intFlowerTime_s,,,,,,,,,
"""Bugle""",0.00065,0.001441207,0.072103857,0.824737635,86,221,10,0.80966667,0.6,,,,211,221,0.000809667,0.001441207,120,86
"""Burdock""",0.00043,0.00407442,0.111789917,0.886486837,130,282,3.9,2.289,0.6,,,,272,282,0.002289,0.00407442,181,130
"""Oilseed_rape""",0.001506667,0.037437754,0.256083333,1.413033834,86,252,5,21.0324462,0.6,,,,242,252,0.021032446,0.037437754,120,86
"""Giant_bindweed""",0.00091,0.01771812,0.264566786,0.664621677,130,282,0,9.954,0.6,,,,272,282,0.009954,0.01771812,181,130
"""Common_knapweed""",0.0024,0.003745476,0.158970881,1.340766709,108,282,3,2.1042,0.6,,,,272,282,0.0021042,0.003745476,151,108
"""Greater_knapweed""",0.002023333,0,0.29775,0,130,282,13.6,0,0.6,,,,272,282,0,0,181,130
"""Rosebay_willowherb""",0.01145,0,0.205722222,0,130,282,0,0,0.6,,,,272,282,0,0,181,130
"""Marsh_thistle""",0.005053333,0.001138013,0.145379479,0.892359175,130,282,3,0.63933333,0.6,,,,272,282,0.000639333,0.001138013,181,130
"""Spear_thistle""",0.003066667,0.003247907,0.190333333,1.290291168,108,313,6.2,1.82466667,0.6,,,,303,313,0.001824667,0.003247907,151,108
"""Hawthorn""",0.000113,0.003338116,0.153978889,1.023306391,86,190,0,1.8753462,0.6,,,,180,190,0.001875346,0.003338116,120,86
"""Foxglove""",0.021636667,0.002907333,0.227516783,0.82432564,108,282,7,1.63333333,0.6,,,,272,282,0.001633333,0.002907333,151,108
"""Wild_teasel""",0.014552381,0.017374778,0.198504595,1.08579219,130,252,10,9.76111111,0.6,,,,242,252,0.009761111,0.017374778,181,130
"""Vipers_bugloss""",0.001736667,0.001640567,0.180277778,0.668138194,108,282,6.7,0.92166667,0.6,,,,272,282,0.000921667,0.001640567,151,108
"""Ground_ivy""",0.000896667,0.00466004,0.1906965,0.87236667,43,160,7,2.618,0.6,,,,150,160,0.002618,0.00466004,59,43
"""Bluebell""",0.001876667,0,0.363,0,65,190,0,0,0.6,,,,180,190,0,0,90,65
"""St_Johns_wort""",0.0005,0,0.139074028,0,108,282,0,0,0.6,,,,272,282,0,0,151,108
"""Field_scabious""",0.00888,0,0.1195,0,130,282,0,0,0.6,,,,272,282,0,0,181,130
"""White_dead_nettle""",0.00122,0.003858447,0.228,0.756159314,86,374,7.7,2.16766667,0.6,,,,364,374,0.002167667,0.003858447,120,86
"""Red_dead_nettle""",0.000673333,0.009706235,0.228,1.012756841,43,313,7,5.45294118,0.6,,,,303,313,0.005452941,0.009706235,59,43
"""Birdsfoot_trefoil""",0.000983333,0.001500599,0.358,0.697633655,86,313,9,0.84303333,0.6,,,,303,313,0.000843033,0.001500599,120,86
"""Selfheal""",0.000340667,0.001036672,0.258046333,0.662448006,108,282,8,0.5824,0.6,,,,272,282,0.0005824,0.001036672,151,108
"""Blackthorn""",3.33E-05,1.66E-04,0.272,0.779652352,43,160,0,0.09333333,0.6,,,,150,160,9.33E-05,0.000166074,59,43
"""Buttercup""",0.000765556,0.000350957,0.1206,0.715746421,86,313,0,0.19716667,0.6,,,,303,313,0.000197167,0.000350957,120,86
"""Dog_rose""",0.000669444,0,0.0907235,0,108,221,0,0,0.6,,,,211,221,0,0,151,108
"""Bramble""",0.000479444,0.012146423,0.126,0.500418064,86,282,0,6.82383333,0.6,,,,272,282,0.006823833,0.012146423,120,86
"""Average_Willow""",0.010303333,0.004639867,0.257375,1.134482423,10,330,0,2.60666667,0.6,,,,119,129,0.002606667,0.004639867,59,43
"""Ragwort""",0.00017,0,0.155,0,108,313,0,0,0.6,,,,303,313,0,0,151,108
"""Hedge_woundwort""",0.0008,0.002607047,0.145433167,1.044243191,130,252,9,1.46463333,0.6,,,,242,252,0.001464633,0.002607047,181,130
"""Comfry""",0.000953333,0.007685743,0.09710669,0.989791281,86,221,17,4.31783333,0.6,,,,211,221,0.004317833,0.007685743,120,86
"""Dandelion""",0.000433333,0.000836897,0.091663467,1.294673289,1,374,1.2,0.47016667,0.6,,,,364,374,0.000470167,0.000836897,1,1
"""Red_clover""",0.000502222,0.00109648,0.208687875,0.985977213,86,282,10,0.616,0.6,,,,272,282,0.000616,0.00109648,120,86
"""White_clover""",0.000412778,0.00118647,0.2307,0.980296686,108,282,2,0.66655556,0.6,,,,272,282,0.000666556,0.00118647,151,108
"""Tufted_vetch""",0.00085,0.002824983,0.129583333,0,108,252,6.8,1.58706897,0.6,,,,242,252,0.001587069,0.002824983,151,108
"""Common_vetch""",0.00038,0.001531542,0.428,0.815340079,86,282,7,0.86041667,0.6,,,,272,282,0.000860417,0.001531542,120,86
"""Crop_Field_beans""",0.00065,0.0015308,0.2,1.28,110,192,19,0.86,0.6,,,,182,192,0.00086,0.0015308,153,110
"""Crop_Oilseed_rape""",0.000239,0.000979,0.2,1.5,82,146,5,0.55,0.6,,,,136,146,0.00055,0.000979,114,82
"""Crop_Maize""",0.0353,0,0.2,0,125,220,0,0,0.6,,,,210,220,0,0,175,125
